name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude
44 South,"4411 S Congress Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Balcony, Stainless Steel Appliances, Package Service",4411 S Congress Ave, Austin,TX,78745,1399,1549,1,2,APT,2023-10-25 18:16:07,30.2165978,-97.7673504
Brightleaf at Lakeline,"14115 N Highway 183, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Elevator",14115 N Highway 183, Austin,TX,78717,1460,1695,1,0,APT,2023-10-25 18:16:07,30.4714581,-97.7980341
The Upland,"12217 N Interstate 35, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Package Service, Elevator",12217 N Interstate 35, Austin,TX,78753,1401,1641,1,3,APT,2023-10-25 18:16:07,30.3965978,-97.6714957
Water Oak,"12234 Heatherly Dr, Austin, TX 78747","Dog & Cat Friendly, Stainless Steel Appliances, Package Service, Granite Countertops, Washer & Dryer Hookups",12234 Heatherly Dr, Austin,TX,78747,1305,1909,1,0,APT,2023-10-25 18:16:07,30.1263507,-97.7998375
The Prescott,"8200 S Congress Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Granite Countertops, EV Charging",8200 S Congress Ave, Austin,TX,78745,1524,2155,1,0,APT,2023-10-25 18:16:07,30.1766904,-97.78440180000001
Presidium Tech Ridge,"12210 Tech Ridge Blvd, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Range, Maintenance on site, Elevator",12210 Tech Ridge Blvd, Austin,TX,78753,1495,1515,1,0,APT,2023-10-25 18:16:07,30.3995552,-97.67097079999999
Avery Ranch,"9225 N Lake Creek Pky, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Granite Countertops, EV Charging, Yard",9225 N Lake Creek Pky, Austin,TX,78717,1399,2959,1,0,APT,2023-10-25 18:16:07,30.485031,-97.7991122
Three Hills,"12001 Heatherly Dr, Austin, TX 78747","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, High-Speed Internet, Gated, EV Charging, Yard",12001 Heatherly Dr, Austin,TX,78747,1370,2766,1,0,APT,2023-10-25 18:16:07,30.1278669,-97.7971223
Crestview Commons Apartments,"801 Sugaree Ave, Austin, TX 78757","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Business Center, Controlled Access",801 Sugaree Ave, Austin,TX,78757,1549,2130,1,0,APT,2023-10-25 18:16:07,30.3414361,-97.7176709
Villages at East Riverside,"1301 Crossing Pl, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Microwave, Stainless Steel Appliances, Package Service, Granite Countertops",1301 Crossing Pl, Austin,TX,78741,0,0,2,0,APT,2023-10-25 18:16:07,30.2360839,-97.7120656
Windsor Park Towers,"6007 N Interstate 35, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, High-Speed Internet, Controlled Access, Elevator, EV Charging",6007 N Interstate 35, Austin,TX,78723,1495,2298,1,0,APT,2023-10-25 18:16:07,30.32081909999999,-97.7059881
Meritage at Steiner Ranch,"4500 Steiner Ranch Blvd, Austin, TX 78732","Dog & Cat Friendly, Dishwasher, Walk-In Closets, Maintenance on site, Microwave, CableReady, Business Center, Ceiling Fans",4500 Steiner Ranch Blvd, Austin,TX,78732,1281,1481,1,0,APT,2023-10-25 18:16:07,30.3826315,-97.87877329999999
Waters at Barton Creek Apartments,"2611 Bee Caves Rd, Austin, TX 78746","Dog & Cat Friendly, Fitness Center, Pool, Package Service, Online Services",2611 Bee Caves Rd, Austin,TX,78746,1359,1469,1,0,APT,2023-10-25 18:16:07,30.2665404,-97.7854799
Cliffs at Barton Creek,"3050 Tamarron Blvd, Austin, TX 78746","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony",3050 Tamarron Blvd, Austin,TX,78746,1474,3436,1,3,APT,2023-10-25 18:16:07,30.2590327,-97.80230829999999
Ellwood at Lake Travis,"7655 N Ranch Road 620, Austin, TX 78726","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Stainless Steel Appliances, Business Center",7655 N Ranch Road 620, Austin,TX,78726,1185,1660,1,3,APT,2023-10-25 18:16:07,30.4080068,-97.8497579
Marquis Lakeline Station,"13730 FM 620 N, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",13730 FM 620 N, Austin,TX,78717,1269,2349,1,2,APT,2023-10-25 18:16:07,30.4769048,-97.77499189999999
The District on La Frontera,"2811 La Frontera Blvd, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2811 La Frontera Blvd, Austin,TX,78728,1354,4306,1,2,APT,2023-10-25 18:16:07,30.4774311,-97.6817501
Riata,"12300 Riata Trace Pky, Austin, TX 78727","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Maintenance on site, Package Service, EV Charging",12300 Riata Trace Pky, Austin,TX,78727,1177,1785,1,0,APT,2023-10-25 18:16:07,30.4296164,-97.7474845
Estates at East Riverside,"1300 Crossing Pl, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Stainless Steel Appliances, Gated",1300 Crossing Pl, Austin,TX,78741,0,0,2,0,APT,2023-10-25 18:16:07,30.2414843,-97.71158059999999
Starburst Apartments,"8800 N Interstate 35, Austin, TX 78753","Fitness Center, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony, Range, Maintenance on site",8800 N Interstate 35, Austin,TX,78753,1199,1499,1,0,APT,2023-10-25 18:16:07,30.3526662,-97.69328720000001
Edison Riverside,"4711 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Business Center, Granite Countertops, Rooftop Deck",4711 E Riverside Dr, Austin,TX,78741,1399,1699,1,0,APT,2023-10-25 18:16:07,30.2310129,-97.7191256
Bristol Heights,"12041 Dessau Rd, Austin, TX 78754","Dog & Cat Friendly, Maintenance on site, EV Charging",12041 Dessau Rd, Austin,TX,78754,1212,1366,1,2,APT,2023-10-25 18:16:07,30.3807655,-97.6518017
Highline Apartments,"13201 Legendary Dr, Austin, TX 78727","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Online Services",13201 Legendary Dr, Austin,TX,78727,1325,1900,1,0,APT,2023-10-25 18:16:07,30.4372906,-97.73059769999999
Midtown Commons,"810 W St Johns Ave, Austin, TX 78752","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Package Service, Controlled Access, Elevator",810 W St Johns Ave, Austin,TX,78752,1387,3311,1,0,APT,2023-10-25 18:16:07,30.3402078,-97.7180961
The Aspect,"4900 E Oltorf St, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Controlled Access, Hardwood Floors",4900 E Oltorf St, Austin,TX,78741,1417,1517,1,2,APT,2023-10-25 18:16:07,30.2228023,-97.72115629999999
Bell Southpark,"10500 S IH 35 Frontage Rd, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Maintenance on site, Stainless Steel Appliances",10500 S IH 35 Frontage Rd, Austin,TX,78748,1205,2895,1,0,APT,2023-10-25 18:16:07,30.1488948,-97.7958395
Terra,"8300 Bluff Springs Rd, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Package Service, EV Charging",8300 Bluff Springs Rd, Austin,TX,78744,1193,3764,1,0,APT,2023-10-25 18:16:07,30.1699086,-97.7733762
Aspire at Del Valle,"6514 Ross Rd, Del Valle, TX 78617","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Controlled Access, EV Charging",6514 Ross Rd, Del Valle,TX,78617,1300,1650,1,0,APT,2023-10-25 18:16:07,30.16324879999999,-97.6369802
The Parker Austin,"610 E Wells Branch Pky, Pflugerville, TX 78660","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, In Unit Washer & Dryer, Stainless Steel Appliances, Granite Countertops, Gated",610 E Wells Branch Pky, Pflugerville,TX,78660,1503,1545,1,0,APT,2023-10-25 18:16:07,30.4298326,-97.64330919999999
Tacara Steiner Ranch,"4306 N Quinlan Park Rd, Austin, TX 78732","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony",4306 N Quinlan Park Rd, Austin,TX,78732,1217,1661,1,2,APT,2023-10-25 18:16:07,30.3859095,-97.8867233
Bell Lakeshore,"2515 Elmont Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",2515 Elmont Dr, Austin,TX,78741,1485,2708,1,2,APT,2023-10-25 18:16:07,30.2390219,-97.72072089999999
Platform,"2823 E Martin Luther King Jr Blvd, Austin, TX 78702","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Package Service, Elevator, Online Services, EV Charging",2823 E Martin Luther King Jr Blvd, Austin,TX,78702,1448,4320,1,2,APT,2023-10-25 18:16:07,30.2808681,-97.7099338
Estancia Villas,"1200 Estancia Pky, Austin, TX 78748","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",1200 Estancia Pky, Austin,TX,78748,1107,1242,1,2,APT,2023-10-25 18:16:07,30.1230092,-97.8061834
Hardrock Canyon,"10300 Jollyville Rd, Austin, TX 78759","Dog & Cat Friendly, Maintenance on site, Business Center, Controlled Access",10300 Jollyville Rd, Austin,TX,78759,1207,1549,1,0,APT,2023-10-25 18:16:07,30.396338,-97.75189859999999
The Terrace at Walnut Creek,"8712 Old Manor Rd, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Clubhouse, Balcony, Patio, Business Center",8712 Old Manor Rd, Austin,TX,78724,1244,0,1,2,APT,2023-10-25 18:16:07,30.3275364,-97.6416725
Overture Arboretum 60+ Active Adult Apartm...,"10600 Jollyville Rd, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",10600 Jollyville Rd, Austin,TX,78759,1523,2052,1,0,APT,2023-10-25 18:16:07,30.3997076,-97.75015839999999
