type,name,street,city,state,zip,country ,address,Latitude,Longitude
Grocery Store,Trader Joes,9722 Great Hills Trail,Austin,TX,78759,U.S,"9722 Great Hills Trail,Austin,TX 78759",30.3955849,-97.7517712
Grocery Store,Trader Joes,2805 Bee Cave Rd,Austin,TX ,78746 ,U.S,"2805 Bee Cave Rd,Austin,TX  78746 ",30.2701339,-97.78981139999999
Grocery Store,Trader Joes,"211 Walter Seaholm Dr, Ste 100",Austin,TX ,78701,U.S,"211 Walter Seaholm Dr, Ste 100,Austin,TX  78701",30.2674966,-97.7527899
Grocery Store,Sam's Club,4970 W. Highway 290,Austin,TX ,78735,U.S,"4970 W. Highway 290,Austin,TX  78735",30.23566,-97.8196294
Grocery Store,Sam's Club,9900 S Interstate 35,Austin,TX ,78748,U.S,"9900 S Interstate 35,Austin,TX  78748",30.1562195,-97.7934011
Grocery Store,Sam's Club,9700 N Capital Of Texas Hwy,Austin,TX ,78759,U.S,"9700 N Capital Of Texas Hwy,Austin,TX  78759",30.3910253,-97.74341020000001
Grocery Store,Sam's Club,10901 Lakeline Mall Dr,Austin,TX ,78717,U.S,"10901 Lakeline Mall Dr,Austin,TX  78717",30.4734751,-97.79684
Grocery Store,Sam's Club,1350 Leah Ave,San Marcos,TX,78666,U.S,"1350 Leah Ave,San Marcos,TX 78666",29.8509393,-97.9540754
Grocery Store,Costco,4301 W William Cannon Dr Bldg A Ste,Austin,TX,78749,U.S,"4301 W William Cannon Dr Bldg A Ste,Austin,TX 78749",30.2215037,-97.8411819
Grocery Store,Costco,10401 Research Blvd,Austin,TX,78759,U.S,"10401 Research Blvd,Austin,TX 78759",30.396879,-97.74542609999999
Grocery Store,Costco,1901 Kelly Ln,Pflugerville,TX,78660,U.S,"1901 Kelly Ln,Pflugerville,TX 78660",30.4700539,-97.5916005
Grocery Store,Costco,4601 183A Toll Rd,Cedar Park,TX,78613,U.S,"4601 183A Toll Rd,Cedar Park,TX 78613",30.5268094,-97.8176539
Grocery Store,Whole Foods,11920 Domain Dr,Austin,TX,78758,U.S,"11920 Domain Dr,Austin,TX 78758",30.4063209,-97.7201151
Grocery Store,Whole Foods,"9607 Research Blvd, Ste 300",Austin,TX,78759,U.S,"9607 Research Blvd, Ste 300,Austin,TX 78759",30.3893422,-97.7416415
Grocery Store,Whole Foods,"4301 W William Cannon, Bldg B Ste 800",Austin,TX,78749,U.S,"4301 W William Cannon, Bldg B Ste 800,Austin,TX 78749",30.2215037,-97.8411819
Grocery Store,Whole Foods,"901 E 5Th St, Ste 100",Austin,TX,78702,U.S,"901 E 5Th St, Ste 100,Austin,TX 78702",30.2638961,-97.7335756
Grocery Store,Whole Foods,525 N Lamar Blvd,Austin,TX,78703,U.S,"525 N Lamar Blvd,Austin,TX 78703",30.2705019,-97.75346900000001
Grocery Store,HEB,"11521 North Fm620, Building A",Austin,TX,78726,U.S,"11521 North Fm620, Building A,Austin,TX 78726",30.4522444,-97.8268947
Grocery Store,HEB,"14028 North Us 183, Austin",Austin,TX,78717,U.S,"14028 North Us 183, Austin,Austin,TX 78717",30.4760825,-97.8036994
Grocery Store,HEB,"2508 E Riverside Dr, Austin",Austin,TX,78741,U.S,"2508 E Riverside Dr, Austin,Austin,TX 78741",30.236434,-97.72216399999999
Grocery Store,HEB,2652 Lake Austin Blvd,Austin,TX,78703,U.S,"2652 Lake Austin Blvd,Austin,TX 78703",30.2836704,-97.7758743
Grocery Store,HEB,"2301 S.Congress Ave.
Austin, Tx 78704",Austin,TX,78704,U.S,"2301 S.Congress Ave.
Austin, Tx 78704,Austin,TX 78704",30.2395146,-97.75194979999999
Grocery Store,HEB,2701 East 7Th,Austin,TX,78702,U.S,"2701 East 7Th,Austin,TX 78702",30.2591848,-97.7115457
