name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude,closest_theater_distance_miles,closest_grocery_distance_miles
44 South,"4411 S Congress Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Balcony, Stainless Steel Appliances, Package Service",4411 S Congress Ave, Austin,TX,78745,1399,1549,1,2,APT,2023-10-25 18:16:07,30.2165978,-97.7673504,1.2781186424994888,1.830964879811912
Brightleaf at Lakeline,"14115 N Highway 183, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Elevator",14115 N Highway 183, Austin,TX,78717,1460,1695,1,0,APT,2023-10-25 18:16:07,30.4714581,-97.7980341,0.4646537131912935,0.15645422010549404
The Upland,"12217 N Interstate 35, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Maintenance on site, Package Service, Elevator",12217 N Interstate 35, Austin,TX,78753,1401,1641,1,3,APT,2023-10-25 18:16:07,30.3965978,-97.6714957,3.5756374025977546,0.5224497864508442
Water Oak,"12234 Heatherly Dr, Austin, TX 78747","Dog & Cat Friendly, Stainless Steel Appliances, Package Service, Granite Countertops, Washer & Dryer Hookups",12234 Heatherly Dr, Austin,TX,78747,1305,1909,1,0,APT,2023-10-25 18:16:07,30.1263507,-97.7998375,2.099262229819237,2.099262229819237
The Prescott,"8200 S Congress Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Stainless Steel Appliances, Granite Countertops, EV Charging",8200 S Congress Ave, Austin,TX,78745,1524,2155,1,0,APT,2023-10-25 18:16:07,30.1766904,-97.7844018,1.5131183963286339,0.5391673077391307
Presidium Tech Ridge,"12210 Tech Ridge Blvd, Austin, TX 78753","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Range, Maintenance on site, Elevator",12210 Tech Ridge Blvd, Austin,TX,78753,1495,1515,1,0,APT,2023-10-25 18:16:07,30.3995552,-97.6709708,3.368949063031277,0.32542317903512885
Avery Ranch,"9225 N Lake Creek Pky, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Granite Countertops, EV Charging, Yard",9225 N Lake Creek Pky, Austin,TX,78717,1399,2959,1,0,APT,2023-10-25 18:16:07,30.485031,-97.7991122,0.6759284427199872,0.6759284427199872
Three Hills,"12001 Heatherly Dr, Austin, TX 78747","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, High-Speed Internet, Gated, EV Charging, Yard",12001 Heatherly Dr, Austin,TX,78747,1370,2766,1,0,APT,2023-10-25 18:16:07,30.1278669,-97.7971223,1.9715524857740745,1.9715524857740745
Crestview Commons Apartments,"801 Sugaree Ave, Austin, TX 78757","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Business Center, Controlled Access",801 Sugaree Ave, Austin,TX,78757,1549,2130,1,0,APT,2023-10-25 18:16:07,30.3414361,-97.7176709,1.642886955306849,1.473699801723921
Villages at East Riverside,"1301 Crossing Pl, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Microwave, Stainless Steel Appliances, Package Service, Granite Countertops",1301 Crossing Pl, Austin,TX,78741,0,0,2,0,APT,2023-10-25 18:16:07,30.2360839,-97.7120656,3.373798068242469,0.6032949351983453
Windsor Park Towers,"6007 N Interstate 35, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, High-Speed Internet, Controlled Access, Elevator, EV Charging",6007 N Interstate 35, Austin,TX,78723,1495,2298,1,0,APT,2023-10-25 18:16:07,30.32081909999999,-97.7059881,1.541003347133912,1.41675908355271
Meritage at Steiner Ranch,"4500 Steiner Ranch Blvd, Austin, TX 78732","Dog & Cat Friendly, Dishwasher, Walk-In Closets, Maintenance on site, Microwave, CableReady, Business Center, Ceiling Fans",4500 Steiner Ranch Blvd, Austin,TX,78732,1281,1481,1,0,APT,2023-10-25 18:16:07,30.3826315,-97.8787733,6.247848358369137,2.230276864017005
Waters at Barton Creek Apartments,"2611 Bee Caves Rd, Austin, TX 78746","Dog & Cat Friendly, Fitness Center, Pool, Package Service, Online Services",2611 Bee Caves Rd, Austin,TX,78746,1359,1469,1,0,APT,2023-10-25 18:16:07,30.2665404,-97.7854799,1.4899938789823441,0.3584095465704994
Cliffs at Barton Creek,"3050 Tamarron Blvd, Austin, TX 78746","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony",3050 Tamarron Blvd, Austin,TX,78746,1474,3436,1,3,APT,2023-10-25 18:16:07,30.2590327,-97.8023083,1.9729310951109067,1.0698084582932894
Ellwood at Lake Travis,"7655 N Ranch Road 620, Austin, TX 78726","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Stainless Steel Appliances, Business Center",7655 N Ranch Road 620, Austin,TX,78726,1185,1660,1,3,APT,2023-10-25 18:16:07,30.4080068,-97.8497579,5.445281276343347,0.24707151599854413
Marquis Lakeline Station,"13730 FM 620 N, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",13730 FM 620 N, Austin,TX,78717,1269,2349,1,2,APT,2023-10-25 18:16:07,30.4769048,-97.7749919,1.7103947474531365,1.3224153094219104
The District on La Frontera,"2811 La Frontera Blvd, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2811 La Frontera Blvd, Austin,TX,78728,1354,4306,1,2,APT,2023-10-25 18:16:07,30.4774311,-97.6817501,2.317063962088703,1.371330560407699
Riata,"12300 Riata Trace Pky, Austin, TX 78727","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Maintenance on site, Package Service, EV Charging",12300 Riata Trace Pky, Austin,TX,78727,1177,1785,1,0,APT,2023-10-25 18:16:07,30.4296164,-97.7474845,2.931353382450393,0.8724958757514157
Estates at East Riverside,"1300 Crossing Pl, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, High-Speed Internet, Stainless Steel Appliances, Gated",1300 Crossing Pl, Austin,TX,78741,0,0,2,0,APT,2023-10-25 18:16:07,30.2414843,-97.7115806,3.265415343143221,0.7217068102384402
